Path,Title,PageViews,Freshness (report),LastReviewed (report),LastReviewed (file)
powerbi-docs/create-reports/copilot-create-desktop-report.md,Create reports in Power BI Desktop with Copilot - Power BI,1061.0,> 365 days,2024-06-04,2024-06-04
powerbi-docs/create-reports/power-bi-slicer-hierarchy-multiple-fields.md,Add multiple fields to a hierarchy slicer - Power BI,1053.0,> 365 days,2023-01-12,2023-01-12
powerbi-docs/paginated-reports/report-builder-shared-datasets.md,Create a paginated report based on a Power BI shared dataset - Power BI,1044.0,> 365 days,2023-04-12,2023-04-12
powerbi-docs/natural-language/q-and-a-copilot-enhancements.md,Enhance Q&A with Copilot for Power BI - Power BI,1022.0,> 365 days,2024-04-10,2024-04-10
powerbi-docs/create-reports/service-dashboard-pin-live-tile-from-report.md,Pin an entire report page to a Power BI dashboard - Power BI,1017.0,> 365 days,2024-06-25,2024-06-25
powerbi-docs/visuals/power-bi-report-add-visualizations-i.md,Add visualizations to a Power BI report (part 1) - Power BI,1009.0,> 365 days,2023-07-15,2023-07-15
powerbi-docs/developer/embedded/configure-credentials.md,Configure credentials programmatically for Power BI embedded analytics - Power BI,986.0,> 365 days,2024-05-21,2024-05-21
powerbi-docs/report-server/whats-new.md,What's new in Power BI Report Server - Power BI,973.0,> 365 days,2024-07-17,2024-07-17
powerbi-docs/create-reports/desktop-certificate-revocation.md,"Certificate revocation check, Power BI Desktop - Power BI",967.0,> 365 days,2023-03-06,2023-03-06
powerbi-docs/connect-data/service-gateway-sso-overview.md,Overview of single sign-on for on-premises data gateways - Power BI,951.0,> 365 days,2023-08-25,2023-08-25
powerbi-docs/connect-data/service-publish-from-excel.md,Publish to Power BI from Microsoft Excel - Power BI,944.0,> 365 days,2024-07-19,2024-07-19
powerbi-docs/developer/visuals/enable-sync-slicers.md,Enable the Sync Slicers feature in Power BI visuals - Power BI,936.0,> 365 days,2023-12-02,2023-12-02
powerbi-docs/paginated-reports/paginated-reports-download-rdl.md,Create a paginated report from a Power BI report or dataset - Power BI,924.0,> 365 days,2023-01-11,2023-01-11
powerbi-docs/developer/visuals.md,Power BI visuals documentation - Power BI,924.0,> 365 days,,
powerbi-docs/developer/embedded/power-bi-playground.md,What is the Power BI embedded analytics playground - Power BI,922.0,> 365 days,2024-03-03,2024-03-03
powerbi-docs/connect-data/incremental-refresh-troubleshoot.md,Troubleshoot incremental refresh and real-time data - Power BI,907.0,> 365 days,2024-04-26,2024-04-26
powerbi-docs/report-server/scheduled-refresh.md,Power BI report scheduled refresh in Power BI Report Server - Power BI,903.0,> 365 days,2021-05-18,2021-05-18
powerbi-docs/create-reports/desktop-set-visual-query-limits.md,Set visual query limits in Power BI Desktop - Power BI,863.0,> 365 days,2023-05-23,2023-05-23
powerbi-docs/visuals/service-r-visuals.md,Create advanced analytics and visualizations using R scripts - Power BI,855.0,> 365 days,2024-02-20,2024-02-20
