Path,Title,PageViews,Freshness (report),LastReviewed (report),LastReviewed (file)
powerbi-docs/developer/projects/projects-git.md,Git integration with Power BI Desktop projects - Power BI,2616.0,> 365 days,2024-08-13,
powerbi-docs/consumer/end-user-dashboards.md,Dashboards for business users of the Power BI service - Power BI,2593.0,271-365 days,2025-01-06,
powerbi-docs/guidance/fabric-adoption-roadmap.md,Microsoft Fabric adoption roadmap - Power BI,2579.0,271-365 days,2024-12-30,
powerbi-docs/report-server/compare-report-server-service.md,Compare Power BI Report Server and the Power BI service - Power BI,2565.0,271-365 days,2025-02-03,
powerbi-docs/guidance/relationships-many-to-many.md,Many-to-many relationship guidance - Power BI,2523.0,271-365 days,2024-12-27,
powerbi-docs/consumer/end-user-visualizations.md,Working with visualizations (visuals) as a business user - Power BI,2516.0,271-365 days,2025-01-11,
powerbi-docs/visuals/power-bi-visualization-card-visual-new-format-settings.md,(new) Card visual format settings - Power BI,2511.0,> 365 days,2024-10-28,
powerbi-docs/guidance/admin-activity-log.md,Access the Power BI activity log - Power BI,2472.0,271-365 days,2024-12-30,
powerbi-docs/connect-data/asynchronous-refresh.md,Enhanced refresh with the Power BI REST API - Power BI,2429.0,271-365 days,2025-01-07,
powerbi-docs/guidance/rls-guidance.md,Row-level security (RLS) guidance in Power BI Desktop - Power BI,2408.0,271-365 days,2024-12-30,
powerbi-docs/connect-data/service-template-apps-overview.md,What are Power BI template apps? - Power BI,2381.0,271-365 days,2024-12-16,
powerbi-docs/visuals/power-bi-visualization-anomaly-detection.md,Anomaly detection tutorial - Power BI,2336.0,271-365 days,2025-01-28,
powerbi-docs/developer/projects/projects-build-pipelines.md,Azure DevOps build pipeline integration with Power BI Desktop projects - Power BI,2318.0,> 365 days,2024-08-13,
powerbi-docs/create-reports/service-dashboard-tiles.md,Intro to dashboard tiles for Power BI designers - Power BI,2263.0,> 365 days,2022-07-18,
powerbi-docs/connect-data/desktop-sap-bw-connector.md,SAP Business Warehouse (BW) Connector in Power BI Desktop - Power BI,2189.0,271-365 days,2024-12-03,
powerbi-docs/connect-data/desktop-assume-referential-integrity.md,Assume Referential Integrity setting in Power BI Desktop - Power BI,2178.0,> 365 days,2024-07-25,
powerbi-docs/consumer/end-user-sign-in.md,Sign in and out of the Power BI service - Power BI,2149.0,271-365 days,2025-01-11,
powerbi-docs/developer/projects/projects-dataset.md,Power BI Desktop project semantic model folder - Power BI,2054.0,> 365 days,2024-08-13,
powerbi-docs/connect-data/service-gateway-onprem-indepth.md,On-premises data gateway in-depth - Power BI,2032.0,> 365 days,2022-12-30,
powerbi-docs/paginated-reports/paginated-reports-quickstart-aw.md,Tutorial: Create a paginated report and upload it to the Power BI service - Power BI,2017.0,> 365 days,2024-06-28,
powerbi-docs/transform-model/dataflows/dataflows-premium-features.md,Premium features of dataflows - Power BI,1996.0,> 365 days,2024-05-03,
powerbi-docs/create-reports/service-the-report-editor-take-a-tour.md,Tour the Power BI report editor - Power BI,1995.0,> 365 days,2023-03-01,
powerbi-docs/developer/embedded/embed-organization-app.md,Embed Power BI report in a Power BI embedded analytics application for your organization - Power BI,1968.0,> 365 days,2024-06-03,
